uLabel,h1,h2,h3,h4,h5,ax,ay,az,uL dev_yaw,uL dev_pitch,uL dev_roll,uL Timestamp,uMyo1,uM1 d1,uM1 d2,uM1 d3,uM1 d4,uM1 d5,uM1 d6,uM1 d7,uM1 d8,uM1 ds1,uM1 ds2,uM1 ds3,uM1 ds4,uM1 ax,uM1 ay,uM1 az,uM1 dev_yaw,uM1 dev_pitch,uM1 dev_roll,uM1 Timestamp,uMyo2,uM2 d1,uM2 d2,uM2 d3,uM2 d4,uM2 d5,uM2 d6,uM2 d7,uM2 d8,uM2 ds1,uM2 ds2,uM2 ds3,uM2 ds4,uM2 ax,uM2 ay,uM2 az,uM2 dev_yaw,uM2 dev_pitch,uM2 dev_roll,uM2 Timestamp,uMyo3,uM3 d1,uM3 d2,uM3 d3,uM3 d4,uM3 d5,uM3 d6,uM3 d7,uM3 d8,uM3 ds1,uM3 ds2,uM3 ds3,uM3 ds4,uM3 ax,uM3 ay,uM3 az,uM3 dev_yaw,uM3 dev_pitch,uM3 dev_roll,uM3 Timestamp,uMyo4,uM4 d1,uM4 d2,uM4 d3,uM4 d4,uM4 d5,uM4 d6,uM4 d7,uM4 d8,uM4 ds1,uM4 ds2,uM4 ds3,uM4 ds4,uM4 ax,uM4 ay,uM4 az,uM4 dev_yaw,uM4 dev_pitch,uM4 dev_roll,uM4 Timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31456,30492,30488,29988,30944,14418,-5377,7708,205,0,183,14.36972833,0,17687,17729,17784,17825,17871,17849,17758,17695,11126,362,60,20,-15708,1160,-5686,0,0,0,14.3861866,1,12264,12300,12255,12273,12261,12290,12339,12360,32806,155,81,71,-1076,-125,17093,0,0,0,14.3861866,2,18713,18613,18582,18583,18620,18639,18660,18732,18070,270,110,46,-1968,1704,-15729,0,0,0,14.3861866,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,14.3861866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31460,30568,30556,29984,31012,13422,-4910,7816,213,0,161,14.47488594,0,18174,18183,18162,18204,18274,18328,18341,18300,14894,374,55,65,-15344,1393,-5284,0,0,0,14.48987126,1,12226,12239,12252,12255,12295,12359,12398,12313,32801,294,132,32,-1206,-231,16899,0,0,0,14.48987126,2,18590,18615,18684,18773,18784,18712,18614,18611,18311,394,95,26,-2202,1926,-15830,0,0,0,14.48987126,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,14.48987126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31556,30588,30704,28364,31032,13571,-7310,9881,228,0,141,14.58081675,0,18512,18485,18414,18345,18352,18350,18355,18338,16079,296,179,80,-15336,986,-5293,0,0,0,14.5966897,1,12174,12260,12316,12267,12182,12192,12241,12318,32414,115,241,111,-1331,-289,16606,0,0,0,14.5966897,2,17918,17876,17835,17803,17868,17962,17985,17936,12111,316,104,17,-2438,1307,-15944,0,0,0,14.5966897,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,14.5966897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31512,30600,30852,27536,30964,15882,-3651,5375,280,0,109,14.69129252,0,18216,18148,18066,18004,18000,18036,18016,18021,13435,328,207,125,-15122,1267,-5793,0,0,0,14.70568585,1,12123,12184,12212,12229,12214,12144,12093,12082,31745,301,36,20,-1114,-20,17842,0,0,0,14.70568585,2,17570,17529,17447,17379,17386,17395,17398,17405,8437,322,178,75,-1798,2208,-15490,0,0,0,14.70568585,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,14.70568585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31528,30580,30732,26064,30984,12450,-5547,10200,241,0,137,14.79150677,0,17721,17750,17725,17651,17535,17548,17558,17583,9999,454,69,94,-14922,956,-5693,0,0,0,14.80594182,1,12240,12290,12312,12210,12156,12174,12180,12188,32214,274,116,38,-1690,140,17072,0,0,0,14.80594182,2,17607,17498,17446,17455,17480,17506,17529,17597,9046,291,121,39,-2625,1732,-16064,0,0,0,14.80594182,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,14.80594182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31544,30544,30616,29640,31028,13355,-5481,8172,213,0,147,14.89466834,0,17567,17588,17590,17606,17655,17707,17725,17688,10054,299,93,62,-15328,1227,-5508,0,0,0,14.91048813,1,12189,12187,12204,12209,12238,12290,12332,12372,32485,316,150,109,-1182,125,17186,0,0,0,14.91048813,2,17956,17965,18032,18098,18127,18121,18031,17986,13244,361,20,37,-2671,1615,-15128,0,0,0,14.91048813,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,14.91048813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31572,30556,30540,29928,31032,13260,-5350,7937,213,0,136,14.99723172,0,18050,18051,18049,18079,18161,18215,18211,18165,13909,377,53,57,-15106,1204,-5107,0,0,0,15.01266623,1,12292,12339,12367,12343,12241,12227,12231,12243,32746,292,68,44,-2169,-267,17120,0,0,0,15.01266623,2,18568,18586,18587,18625,18711,18772,18785,18722,18284,448,93,80,-2438,1817,-15738,0,0,0,15.01266623,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.01266623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31532,30572,30644,29880,31084,12701,-5494,8375,220,0,129,15.09572196,0,18559,18536,18458,18427,18431,18412,18373,18399,16523,274,200,64,-15328,972,-5172,0,0,0,15.11098647,1,12272,12275,12292,12322,12318,12256,12105,12065,32369,438,240,122,-1665,-161,16952,0,0,0,15.11098647,2,18731,18679,18451,18495,18554,18495,18497,18510,17340,326,377,169,-2359,1565,-15851,0,0,0,15.11098647,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.11098647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31532,30548,30772,25584,30992,13621,-5141,7761,246,0,105,15.20906544,0,18316,18325,18360,18413,18458,18492,18465,18411,16168,342,51,25,-15714,1018,-5189,0,0,0,15.22688389,1,12036,12106,12173,12167,12202,12216,12209,12268,31840,252,183,195,-1895,-20,17188,0,0,0,15.22688389,2,17985,17964,17875,17847,17858,17870,17873,17878,12078,220,144,57,-2846,1701,-16023,0,0,0,15.22688389,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.22688389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31520,30552,30812,26700,31000,14018,-4455,7156,248,0,104,15.31501961,0,17775,17794,17779,17732,17642,17625,17633,17659,10567,375,28,69,-16151,1460,-5792,0,0,0,15.33001137,1,12022,12043,12065,12091,12098,12148,12194,12234,31358,308,193,112,-975,-112,16874,0,0,0,15.33001137,2,17434,17215,17237,17221,17239,17257,17257,17286,7074,231,182,187,-2660,1759,-16048,0,0,0,15.33001137,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.33001137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31536,30540,30572,29488,31044,14092,-5621,7296,218,0,117,15.42029142,0,17466,17414,17424,17468,17518,17580,17621,17634,9053,434,124,64,-16007,1279,-5098,0,0,0,15.43555808,1,12150,12183,12223,12182,12202,12205,12250,12317,32176,140,164,156,-700,251,16572,0,0,0,15.43555808,2,17415,17457,17543,17570,17574,17528,17348,17390,8753,432,101,119,-3135,1692,-15783,0,0,0,15.43555808,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.43555808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31532,30564,30540,29992,31068,13692,-5787,7386,214,0,118,15.51843834,0,17979,18004,17919,17816,17726,17697,17724,17724,11517,625,172,133,-15554,1140,-5227,0,0,0,15.53628516,1,12294,12347,12395,12294,12282,12303,12273,12274,32925,169,123,76,-1471,-113,16995,0,0,0,15.53628516,2,18081,18146,18149,18194,18251,18306,18354,18313,14722,448,179,141,-2498,1634,-16370,0,0,0,15.53628516,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.53628516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31504,30496,30540,29976,31036,13067,-6595,8530,217,0,119,15.62546825,0,18500,18482,18382,18306,18309,18310,18294,18308,15819,376,222,75,-15630,980,-4970,0,0,0,15.63965201,1,12243,12325,12391,12438,12472,12296,12282,12291,33201,390,115,146,-1266,-129,16997,0,0,0,15.63965201,2,18776,18776,18680,18570,18562,18572,18579,18569,18012,433,223,83,-2748,1750,-15883,0,0,0,15.63965201,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.63965201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31484,30560,30684,27108,30956,12719,-4553,7633,241,0,117,15.72738147,0,18405,18393,18407,18459,18508,18510,18480,18419,16509,249,36,20,-15255,1011,-5057,0,0,0,15.74310088,1,12216,12174,12155,12122,12103,12085,12143,12204,31665,234,70,10,-2063,83,17555,0,0,0,15.74310088,2,18509,18272,18235,18252,18213,18191,18170,18198,14968,353,317,278,-1997,1376,-15708,0,0,0,15.74310088,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.74310088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31552,30600,30728,26652,31020,14619,-4916,6158,249,0,107,15.83220482,0,17890,17855,17855,17869,17898,17956,18008,18007,12266,322,99,37,-15666,1029,-5801,0,0,0,15.84636903,1,12007,12021,12027,12000,12009,11986,12017,12115,30646,114,111,126,-349,-84,16652,0,0,0,15.84636903,2,17604,17638,17693,17708,17715,17735,17715,17664,10400,218,89,19,-1896,1535,-16863,0,0,0,15.84636903,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.84636903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31580,30588,30564,29552,31048,12211,-6681,8220,202,0,152,15.93535972,0,17654,17730,17709,17494,17479,17501,17488,17470,9453,512,274,51,-15521,1168,-5613,0,0,0,15.95297956,1,12164,12209,12235,12095,11998,12019,12060,12089,31332,431,140,51,-1372,-340,17016,0,0,0,15.95297956,2,17231,17247,17242,17240,17300,17338,17370,17343,7239,271,81,78,-2065,1803,-16967,0,0,0,15.95297956,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,15.95297956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31544,30520,30568,29864,31116,12632,-6922,9007,205,0,161,16.0412364,0,17776,17784,17765,17702,17682,17655,17639,17682,10613,287,77,26,-15348,965,-5107,0,0,0,16.05630827,1,12159,12187,12274,12342,12339,12159,12120,12160,32204,418,187,71,-1997,-267,17410,0,0,0,16.05630827,2,17783,17791,17731,17632,17584,17586,17601,17650,10286,442,101,41,-2649,1370,-16067,0,0,0,16.05630827,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,16.05630827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31524,30536,30324,29880,31024,12927,-6507,8626,228,0,159,16.14265323,0,18486,18468,18389,18308,18286,18280,18271,18279,15695,413,196,94,-14639,1281,-5444,0,0,0,16.16049004,1,12291,12283,12255,12250,12245,12279,12291,12326,32684,134,17,18,-1824,-137,16859,0,0,0,16.16049004,2,18547,18535,18475,18416,18366,18349,18347,18343,16306,406,154,115,-2039,1773,-15754,0,0,0,16.16049004,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,16.16049004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31568,30776,29668,30060,30988,13487,-4360,7651,276,0,168,16.25259614,0,18400,18417,18450,18544,18620,18653,18600,18519,17131,503,30,35,-15131,939,-5636,0,0,0,16.26984501,1,12250,12208,12212,12262,12211,12227,12257,12302,32393,102,129,24,-1876,371,17234,0,0,0,16.26984501,2,18510,18547,18570,18653,18721,18757,18713,18599,17998,471,73,40,-2441,1521,-16138,0,0,0,16.26984501,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,16.26984501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31552,30712,29252,30116,30968,12023,-5003,9397,270,0,171,16.35390925,0,17990,17996,18001,18051,18072,18060,17984,17926,13008,223,110,57,-16009,1100,-5725,0,0,0,16.36911798,1,12071,12052,12053,12052,12048,12077,12117,12148,31081,166,87,34,-1393,608,17188,0,0,0,16.36911798,2,17971,17968,17978,18022,18060,18064,18005,17928,12924,225,95,52,-3427,1491,-16118,0,0,0,16.36911798,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,16.36911798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31436,30540,30004,29996,31076,10949,-4735,9546,227,0,193,16.46486425,0,17582,17604,17665,17724,17762,17706,17482,17507,9960,484,212,111,-15825,1126,-5231,0,0,0,16.47999787,1,12216,12254,12141,12082,12087,12109,12126,12077,31556,258,207,95,-1965,673,17180,0,0,0,16.47999787,2,17452,17453,17501,17538,17583,17532,17350,17403,8740,340,189,113,-3040,1230,-16315,0,0,0,16.47999787,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,16.47999787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31512,30556,30488,30120,31016,12268,-5297,8620,225,0,185,16.57229543,0,17776,17805,17866,17921,17936,17890,17792,17761,11675,356,55,24,-15301,1090,-5624,0,0,0,16.58748698,1,12227,12159,12141,12154,12166,12189,12233,12307,32040,266,114,45,-1038,78,16844,0,0,0,16.58748698,2,17519,17528,17587,17620,17661,17642,17553,17528,9566,288,45,49,-2541,1459,-15902,0,0,0,16.58748698,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,16.58748698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31568,30576,30508,30040,30992,12508,-5395,9403,218,0,185,16.68194008,0,18321,18287,18249,18233,18265,18268,18272,18330,15153,158,65,41,-15461,1037,-4976,0,0,0,16.69650435,1,12211,12207,12244,12324,12367,12333,12218,12176,32544,352,122,39,-1870,-67,17018,0,0,0,16.69650435,2,18141,18224,18274,18335,18309,18259,18182,18165,14817,364,18,23,-3189,1607,-15438,0,0,0,16.69650435,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,16.69650435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31488,30820,28848,30292,31024,12444,-5589,9420,248,0,180,16.78758216,0,18478,18438,18470,18489,18483,18496,18544,18613,16939,206,176,75,-14473,1019,-5035,0,0,0,16.80250931,1,12314,12267,12312,12412,12475,12285,12219,12237,32985,360,275,30,-2112,514,17132,0,0,0,16.80250931,2,18490,18581,18686,18695,18593,18461,18400,18414,17248,609,67,11,-1947,927,-16608,0,0,0,16.80250931,3,0,0,0,0,0,0,0,0,0,0,0,0,Attribute not found,Attribute not found,Attribute not found,0,0,0,16.80250931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
